iter	Passed	Remaining
0	60	60399
1	105	52700
2	151	50303
3	198	49461
4	237	47360
5	281	46658
6	326	46304
7	368	45670
8	410	45248
9	450	44613
10	492	44318
11	552	45457
12	600	45558
13	640	45116
14	684	44935
15	728	44799
16	771	44629
17	830	45330
18	889	45907
19	947	46410
20	1009	47068
21	1071	47644
22	1120	47585
23	1167	47472
24	1211	47251
25	1264	47359
26	1329	47912
27	1387	48156
28	1433	47981
29	1478	47797
30	1519	47487
31	1563	47297
32	1609	47171
33	1662	47221
34	1714	47275
35	1762	47188
36	1805	46996
37	1849	46817
38	1892	46628
39	1937	46489
40	1978	46272
41	2022	46126
42	2063	45933
43	2105	45756
44	2147	45567
45	2190	45421
46	2235	45323
47	2277	45177
48	2318	45004
49	2363	44907
50	2406	44771
51	2450	44665
52	2490	44506
53	2534	44404
54	2577	44283
55	2622	44205
56	2664	44073
57	2709	44012
58	2753	43914
59	2795	43800
60	2837	43685
61	2879	43564
62	2921	43448
63	2962	43329
64	3005	43228
65	3042	43053
66	3085	42971
67	3128	42880
68	3169	42770
69	3212	42675
70	3255	42598
71	3297	42495
72	3340	42414
73	3380	42301
74	3421	42193
75	3460	42077
76	3502	41985
77	3544	41895
78	3585	41803
79	3640	41861
80	3689	41854
81	3736	41830
82	3777	41733
83	3821	41676
84	3878	41750
85	3927	41745
86	3971	41672
87	4024	41711
88	4076	41731
89	4120	41667
90	4175	41711
91	4235	41799
92	4284	41789
93	4327	41709
94	4369	41629
95	4412	41554
96	4452	41445
97	4506	41473
98	4554	41453
99	4610	41492
100	4657	41458
101	4704	41416
102	4757	41431
103	4811	41454
104	4853	41369
105	4898	41311
106	4938	41213
107	4979	41130
108	5028	41105
109	5068	41006
110	5116	40978
111	5168	40980
112	5221	40987
113	5274	40991
114	5322	40957
115	5371	40931
116	5418	40897
117	5458	40797
118	5510	40793
119	5559	40768
120	5600	40685
121	5660	40740
122	5706	40689
123	5753	40648
124	5800	40601
125	5842	40527
126	5888	40478
127	5935	40438
128	5994	40471
129	6036	40400
130	6090	40400
131	6143	40401
132	6190	40356
133	6240	40328
134	6300	40370
135	6352	40356
136	6402	40331
137	6456	40329
138	6498	40255
139	6545	40205
140	6583	40105
141	6626	40037
142	6685	40066
143	6763	40205
144	6815	40186
145	6873	40205
146	6922	40169
147	6983	40203
148	7050	40267
149	7109	40286
150	7162	40271
151	7217	40266
152	7275	40276
153	7332	40282
154	7386	40269
155	7453	40323
156	7503	40286
157	7551	40243
158	7615	40278
159	7675	40298
160	7721	40238
161	7775	40221
162	7830	40207
163	7889	40219
164	7944	40206
165	8014	40265
166	8082	40313
167	8137	40299
168	8187	40258
